hature,Parks,Realistic,Park Ranger,Protect and explore the great outdoors!,
hature,zarks,Realistic,Park Ranger,Protect and explore the great outdoors!,
hature,larks,Realistic,Park Ranger,,
Nature,Parks,Realistic,Park Ranger,Protect and explore the great outdoors!,
Nature,Parks,Investigative,Conservation Scientist,Discover new ways to protect the environment and the creatures that live on it!,
Nature,Parks,Artistic,Landscaper,Use your artistic prowess to build beautiful gardens and landscapes to enjoy!,
Nature,Parks,Social,Firefighter,Protect people and animals by fighting fires in national parks!,
Nature,Parks,Enterprising,Arborist,"Be a friend of the trees! Plant, grow, and share trees to make the world beautiful!",
Nature,Parks,Conventional,Biologist,Research wildlife and make brand new discoveries!,
Nature,Agriculture,Realistic,Farmer,Grow food for your family and friends!,
Nature,Agriculture,Investigative,Agriculture Scientist,Discover better ways to farm!,
Nature,Agriculture,Artistic,Crop Manager,Help organize the crop growth process every step of the way!,
Nature,Agriculture,Social,Sales Representative,Help farmers find the equpiment they need!,
Nature,Agriculture,Enterprising,Vetenarian,Keep pets happy and healthy!,
Nature,Agriculture,Conventional,Chef,Make delicious food for hungry patrons!,
Nature,Discovery,Realistic,Archaeologist,Dig up fossils and study history through the ages!,
Nature,Discovery,Investigative,Egyptologist,Why did the Egyptians make pyramids? You could find out!,
Nature,Discovery,Artistic,Photographer,Take nice photos and show them off to your fans!,
Nature,Discovery,Social,Museum Curator,Decide what exhibits should be shown to your patrons!,
Nature,Discovery,Enterprising,Field Researcher,Discover exciting natural landmarks!,
Nature,Discovery,Conventional,Geologist,Study rocks all day and all night. Not rock music.,
Nature,Lakes/Ocean,Realistic,Boat Captain,Sail away on your very own ship!,
Nature,Lakes/Ocean,Investigative,Diver,Check out the deep depths of the ocean and get to know the deep sea creatures!,
Nature,Lakes/Ocean,Artistic,Surfer,Ride the tidal wave and hang ten dude! Gnarly!,
Nature,Lakes/Ocean,Social,Tour Guide,Guide others around to show them the landmarks of a city!,
Nature,Lakes/Ocean,Enterprising,Fisherman,Fish the day away and see what you can reel in!,
